Device: mps
Dataset: 133160 samples, 20 classes, input shape per sample: (3, 32, 21)
Model: STGCNGestureNet-jumbo  |  trainable params: 51,773,842
/Users/rickeabati/Library/Python/3.12/lib/python/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  super().__init__(loader)
  epoch 018 [1000/1665]  loss=0.6837
  epoch 018 [1100/1665]  loss=0.6831
  epoch 018 [1200/1665]  loss=0.6825
  epoch 018 [1300/1665]  loss=0.6826
  epoch 018 [1400/1665]  loss=0.6822
  epoch 018 [1500/1665]  loss=0.6822
  epoch 018 [1600/1665]  loss=0.6822
epoch 018 | train_loss=0.6823 | val_loss=0.2796 | val_acc=0.9431 | val_f1=0.9265 | lr=8.70e-04
  epoch 019 [ 100/1665]  loss=0.6802
  epoch 019 [ 200/1665]  loss=0.6833
  epoch 019 [ 300/1665]  loss=0.6803
  epoch 019 [ 400/1665]  loss=0.6803
  epoch 019 [ 500/1665]  loss=0.6806
  epoch 019 [ 600/1665]  loss=0.6801
  epoch 019 [ 700/1665]  loss=0.6802
  epoch 019 [ 800/1665]  loss=0.6805
  epoch 019 [ 900/1665]  loss=0.6803
  epoch 019 [1000/1665]  loss=0.6804
  epoch 019 [1100/1665]  loss=0.6802
  epoch 019 [1200/1665]  loss=0.6800
  epoch 019 [1300/1665]  loss=0.6802
  epoch 019 [1400/1665]  loss=0.6805
  epoch 019 [1500/1665]  loss=0.6802
  epoch 019 [1600/1665]  loss=0.6804
epoch 019 | train_loss=0.6811 | val_loss=0.2838 | val_acc=0.9419 | val_f1=0.9259 | lr=8.50e-04
  epoch 020 [ 100/1665]  loss=0.6844
  epoch 020 [ 200/1665]  loss=0.6831
  epoch 020 [ 300/1665]  loss=0.6818
  epoch 020 [ 400/1665]  loss=0.6815
  epoch 020 [ 500/1665]  loss=0.6821
  epoch 020 [ 600/1665]  loss=0.6817
  epoch 020 [ 700/1665]  loss=0.6822
  epoch 020 [ 800/1665]  loss=0.6825
